t_low,t_high,approve_rate,review_rate,reject_rate,approve_observed_default_rate,review_observed_default_rate,reject_observed_default_rate,nonrejected_observed_default_rate,approve_avg_pd,review_avg_pd,reject_avg_pd,risk_proxy_nonrejected,risk_proxy_approved_only
0.06,0.15,0.45218969462637104,0.24478813224966464,0.30302217312396434,0.012668830488954036,0.1383534266004771,0.5180459351075465,0.056810977266551946,0.03477436464840257,0.09478059509551261,0.5230727691514485,33104949.831592906,13624558.7466596
0.06,0.18,0.45218969462637104,0.2811173360688077,0.2666929693048213,0.012668830488954036,0.14848706001235054,0.5590863364696136,0.06473550553092584,0.03477436464840257,0.1037663725153676,0.5719434083310972,38408576.265189886,13624558.7466596
0.06,0.21,0.45218969462637104,0.3078039927404719,0.2400063126331571,0.012668830488954036,0.15571164889253486,0.5954760652288269,0.07060240463484022,0.03477436464840257,0.11163795834130681,0.6139055307413603,43091541.941998646,13624558.7466596
0.06,0.24,0.45218969462637104,0.3277834766827113,0.2200268286909177,0.012668830488954036,0.1625902744342802,0.6251613828718978,0.07567326953038059,0.03477436464840257,0.11853456135142551,0.649239650820137,47188023.798885435,13624558.7466596
0.06,0.27,0.45218969462637104,0.3453799416081433,0.20243036376548568,0.012668830488954036,0.16929403701165183,0.6539331098464177,0.08049388578891131,0.03477436464840257,0.12546665579636687,0.6835444210571426,51643287.099809326,13624558.7466596
0.06,0.3,0.45218969462637104,0.36154028249033376,0.1862700228832952,0.012668830488954036,0.17586974551486315,0.6832161314919936,0.08517900779643924,0.03477436464840257,0.13256094839938679,0.7181922633332125,56346319.210990235,13624558.7466596
0.06,0.33,0.45218969462637104,0.37490728320050504,0.17290302217312398,0.012668830488954036,0.18104899814783634,0.7112084702446149,0.08899234864240875,0.03477436464840257,0.1390470732888723,0.7494030465455466,60543171.54211727,13624558.7466596
0.06,0.36,0.45218969462637104,0.3855598516531208,0.16225045372050817,0.012668830488954036,0.1860750685604355,0.7340725610349188,0.09247607565368096,0.03477436464840257,0.1447208017713154,0.7759933997596004,64318796.44304125,13624558.7466596
0.06,0.39,0.45218969462637104,0.3952655251321708,0.1525447802414582,0.012668830488954036,0.19036971971572306,0.7578108835092076,0.09555112758151921,0.03477436464840257,0.15036061449746893,0.8015445996585817,68216867.99789001,13624558.7466596
0.06,0.42,0.45218969462637104,0.4037086719797996,0.1441016333938294,0.012668830488954036,0.19393299714631954,0.7810754572335998,0.09816720138658407,0.03477436464840257,0.15568495353141582,0.8247820890062765,71968096.14267978,13624558.7466596
0.06,0.45,0.45218969462637104,0.4105105342065809,0.13729977116704806,0.012668830488954036,0.19729355681992927,0.8001149425287356,0.10052135735845605,0.03477436464840257,0.16031926420025852,0.8440732586926819,75242875.73316982,13624558.7466596
0.06,0.48,0.45218969462637104,0.4171703621873274,0.1306399431863016,0.012668830488954036,0.20034803661950518,0.8210920512201014,0.10272841142193258,0.03477436464840257,0.16518354976251046,0.863396967453643,78779657.57180771,13624558.7466596
0.06,0.51,0.45218969462637104,0.42318314526947054,0.12462716010415845,0.012668830488954036,0.2035800857728883,0.8400658477903001,0.10496141919665393,0.03477436464840257,0.1698653690561153,0.8811855362496804,82150934.90759474,13624558.7466596
0.06,0.54,0.45218969462637104,0.4288013887792946,0.11900891659433441,0.012668830488954036,0.2065069375437047,0.859567696591964,0.10701490398394956,0.03477436464840257,0.17451774738384834,0.898002962052369,85343514.12337168,13624558.7466596
0.06,0.57,0.45218969462637104,0.4341671269628344,0.1136431784107946,0.012668830488954036,0.20940714623241613,0.8793223163449521,0.10903781781924364,0.03477436464840257,0.1792224877682524,0.9141886113055224,88523711.89533772,13624558.7466596
0.06,0.6,0.45218969462637104,0.4386017517557011,0.10920855361792788,0.012668830488954036,0.21200345423143352,0.8960982658959538,0.11081583842678713,0.03477436464840257,0.18332031090815948,0.9275757182433366,91462793.7458159,13624558.7466596
0.06,0.63,0.45218969462637104,0.4430048133827823,0.10480549199084668,0.012668830488954036,0.2148836877916711,0.9126637554585153,0.11273887596079261,0.03477436464840257,0.1876057082639088,0.940729139335533,94456492.80155282,13624558.7466596
0.08,0.15,0.5416712696283438,0.15530655724769193,0.30302217312396434,0.028056988025522245,0.15709785590895234,0.5180459351075465,0.056810977266551946,0.040493170721596077,0.10940804614569992,0.5230727691514485,33104949.831592906,18674940.163066417
0.08,0.18,0.5416712696283438,0.191635761066835,0.2666929693048213,0.028056988025522245,0.16840978341431279,0.5590863364696136,0.06473550553092584,0.040493170721596077,0.11981661576295645,0.5719434083310972,38408576.265189886,18674940.163066417
0.08,0.21,0.5416712696283438,0.21832241773849917,0.2400063126331571,0.028056988025522245,0.17616018505132283,0.5954760652288269,0.07060240463484022,0.040493170721596077,0.12895254525677208,0.6139055307413603,43091541.941998646,18674940.163066417
0.08,0.24,0.5416712696283438,0.2383019016807386,0.2200268286909177,0.028056988025522245,0.18390728476821191,0.6251613828718978,0.07567326953038059,0.040493170721596077,0.1369871265471818,0.649239650820137,47188023.798885435,18674940.163066417
0.08,0.27,0.5416712696283438,0.2558983666061706,0.20243036376548568,0.028056988025522245,0.19148936170212766,0.6539331098464177,0.08049388578891131,0.040493170721596077,0.14507434682064912,0.6835444210571426,51643287.099809326,18674940.163066417
0.08,0.3,0.5416712696283438,0.2720587074883611,0.1862700228832952,0.028056988025522245,0.19890944950403155,0.6832161314919936,0.08517900779643924,0.040493170721596077,0.15333728977753283,0.7181922633332125,56346319.210990235,18674940.163066417
0.08,0.33,0.5416712696283438,0.2854257081985323,0.17290302217312398,0.028056988025522245,0.20463341811345792,0.7112084702446149,0.08899234864240875,0.040493170721596077,0.16088383526726677,0.7494030465455466,60543171.54211727,18674940.163066417
0.08,0.36,0.5416712696283438,0.2960782766511481,0.16225045372050817,0.028056988025522245,0.21032993976866904,0.7340725610349188,0.09247607565368096,0.040493170721596077,0.16748663075893305,0.7759933997596004,64318796.44304125,18674940.163066417
0.08,0.39,0.5416712696283438,0.30578395013019805,0.1525447802414582,0.028056988025522245,0.21511147811725848,0.7578108835092076,0.09555112758151921,0.040493170721596077,0.17405422802936332,0.8015445996585817,68216867.99789001,18674940.163066417
0.08,0.42,0.5416712696283438,0.31422709697782686,0.1441016333938294,0.028056988025522245,0.2190246597358244,0.7810754572335998,0.09816720138658407,0.040493170721596077,0.18025812705943875,0.8247820890062765,71968096.14267978,18674940.163066417
